name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Maruti Swift Dzire VDI,2014,203000,145500,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Skoda Rapid 1.5 TDI Ambition,2014,167000,120000,Diesel,Individual,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5
Honda City 2012-2017 i VTEC V,2006,71000,140000,Petrol,Individual,Manual,Third Owner,17.4 kmpl,1497 CC,118 bhp,145Nm@ 4600rpm,5
Hyundai i20 Sportz Diesel,2010,101000,127000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,89.78 bhp,220Nm@ 1750-2750rpm,5
Datsun RediGO T Option,2017,76000,45000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,54 bhp,72Nm@ 4200rpm,5
Honda Amaze S i-Dtech,2018,245000,67000,Diesel,Individual,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
Maruti Alto 800 LXI CNG,2019,140000,30000,CNG,Individual,Manual,First Owner,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3000rpm,5
Toyota Innova Crysta 2.4 V MT 7 STR,2020,1080000,25000,Diesel,Dealer,Manual,First Owner,15.1 kmpl,2393 CC,148 bhp,343Nm@ 1400-2800rpm,7
Mahindra XUV500 W10,2016,392000,65000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,138 bhp,330Nm@ 1600-2800rpm,7
Hyundai Creta 1.6 SX Plus Petrol,2018,473000,30000,Petrol,Dealer,Automatic,First Owner,16.8 kmpl,1591 CC,123 bhp,151Nm@ 4850rpm,5
BMW 3 Series 320d Luxury Line,2019,1575000,35000,Diesel,Dealer,Automatic,First Owner,22.06 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
Tata Nexon XZ Plus Teal,2021,608000,18000,Petrol,Dealer,Manual,First Owner,17.01 kmpl,1199 CC,120 bhp,170Nm@ 2000-3500rpm,5
Maruti Suzuki Vitara Brezza ZDi Plus,2019,428000,55000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,90 bhp,200Nm@ 1750rpm,5
Honda Jazz VX CVT,2020,383000,22000,Petrol,Dealer,Automatic,First Owner,18.7 kmpl,1199 CC,90 bhp,110Nm@ 4800rpm,5
Hyundai Verna 1.6 SX VTVT AT,2019,540000,40000,Petrol,Dealer,Automatic,First Owner,17.7 kmpl,1591 CC,123 bhp,151Nm@ 4850rpm,5
Kia Seltos HTX G 1.5,2020,653000,28000,Petrol,Dealer,Manual,First Owner,16.5 kmpl,1497 CC,115 bhp,144Nm@ 4500rpm,5
Maruti Wagon R VXI 1.2,2020,248000,20000,Petrol,Individual,Manual,First Owner,21.5 kmpl,1197 CC,82.85 bhp,113Nm@ 4200rpm,5
Tata Tiago XZ Petrol,2019,221000,35000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,86 bhp,113Nm@ 3300rpm,5
Renault Kwid CLIMBER 1.0 AMT,2019,203000,28000,Petrol,Individual,Automatic,First Owner,25.17 kmpl,999 CC,68 bhp,91Nm@ 3500rpm,5
Ford EcoSport Titanium Plus 1.5 TDCi,2018,414000,48000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,100 bhp,215Nm@ 1750-3000rpm,5
Mahindra Scorpio S11 4WD,2019,698000,42000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2179 CC,140 bhp,320Nm@ 1800-2800rpm,9
